Country,ISO code,Period,Reference ,,Total fertility,Age-specific fertility rates,,,,,,,Mean age at childbearing ,Source type,Source,Survey name,Note on country or population,Note on age,Note on methods,Note on population data used in denominator,
,,,Year,Period,,15-19,20-24,25-29,30-34,35-39,40-44,45-49,,,,,,,,,
Afghanistan,4,Around 1970,1973,1972-1973,8,168,359,355,307,235,137,81,30,Survey,National statistics,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,,,,,
Afghanistan,4,..,1979,,7,105,260,309,301,262,185,..,30,Census,National statistics,,,,Adjusted estimate.,,
Afghanistan,4,Around 2005,2003,2000-2005,7,146,333,350,289,217,143,..,30,Survey,DHS,Afghanistan 2010 Mortality Survey,Excluding areas in the South zone.,,Data pertain to the period of 5 to 9 years before the survey.,,
Afghanistan,4,Latest,2009,2007-2010,5,80,257,262,209,128,60,26,29,Survey,DHS,Afghanistan 2010 Mortality Survey,Excluding areas in the South zone.,,,,
Albania,8,Around 1970,1970,,5,39,275,266,214,146,69,22,29,Registration,National statistics,,,,,,
Albania,8,Around 1985,1985,,3,17,176,226,145,75,24,2,28,Registration,UNSD,,,,,,
Albania,8,Around 1995,1995,,2,25,172,207,112,45,10,1,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Albania,8,Around 2005,2005,,1,16,92,111,70,26,5,1,27,Registration,UNSD,,,,,,
Albania,8,Latest,2007,,1,11,70,92,61,25,5,1,28,Registration,UNSD,,,,,,
Algeria,12,Around 1970,1970,,7,113,326,357,328,263,148,37,30,Survey,National statistics,Algeria 1970 Enquête fécondité,,,,,
Algeria,12,Around 1985,1984,1982-1987,5,25,179,251,259,216,110,31,31,Survey,National statistics,Algeria 1986-1987 Enquête nationale sur la fécondité,,,,,
Algeria,12,Around 1995,1990,1987-1992,4,21,143,214,220,164,92,23,31,Survey,PAPCHILD,Algeria 1992 Enquête sur la santé de la mère et de l'enfant,,,,,
Algeria,12,Around 2005,2000,1997-2002,2,6,59,119,134,105,43,9,32,Survey,PAPFAM,Algeria 2002 Enquête sur la santé de la famille,,,,,
Algeria,12,Latest,2008,2007-2008,2,9,75,139,149,118,51,8,31,Census,National statistics,,,,,,
American Samoa,16,Around 1970,1970,1968-1972,5,48,237,288,255,213,97,28,30,Census,National statistics,,,,Estimates based on the own-children method.,,
American Samoa,16,Around 1985,1982,,4,48,222,243,199,102,21,2,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Around 1995,1995,,3,56,188,238,181,104,28,0,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Around 2005,2005,,4,33,180,264,188,117,37,1,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Latest,2006,,3,34,144,208,157,104,27,2,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Andorra,20,Around 1995,1995,,1,..,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
Andorra,20,Around 2005,2004,,1,5,36,69,85,46,11,1,30,Registration,UNSD,,,,,,
Andorra,20,Latest,2010,,1,4,34,75,81,45,10,1,30,Registration,UNSD,,,,Population statistics are compiled from registers.,,
Angola,24,Around 1970,1970,,6,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Angola,24,Around 1985,1983,,7,190,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Angola,24,Around 1995,1996,1995-1996,6,146,319,319,261,204,100,35,29,Survey,MICS,Angola 1996 Multiple Indicator Cluster Survey,,,,,
Angola,24,Around 2005,2001,2000-2001,5,122,270,262,217,190,62,35,29,Survey,MICS,Angola 2001 Multiple Indicator Cluster Survey,,,,,
Angola,24,Latest,2005,2003-2006,5,166,244,272,231,164,68,16,28,Survey,DHS,Angola 2006-2007 Malaria Indicators Survey (MIS),,,,,
Anguilla,660,Around 1985,1984,,2,102,153,147,112,41,26,0,26,Census,National statistics,,,,,,
Anguilla,660,Around 1995,1992,,1,48,103,111,74,28,5,0,26,Census,National statistics,,,,,,
Anguilla,660,Around 2005,2005,,1,33,76,77,57,34,10,,27,Registration,UNSD,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
Anguilla,660,Latest,2006,,1,43,93,71,51,44,7,..,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1970,1972,,2,102,146,114,77,69,25,4,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1985,1985,,1,74,110,94,57,31,5,0,25,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1995,1995,,2,70,115,107,83,54,12,0,27,Registration,UNSD,,,,,,
Antigua and Barbuda,28,Around 2005,2000,,2,59,115,112,101,65,17,3,28,Registration,CARICOM,,,,,,
Antigua and Barbuda,28,Latest,2001,,2,67,94,88,79,56,19,1,27,Registration,CARICOM,,,,,,
Argentina,32,Around 1970,1970,,3,65,157,170,118,71,27,6,28,Registration,UNSD,,,,,,
Argentina,32,Around 1985,1985,,2,73,158,160,113,64,21,4,27,Registration,UNSD,,,,,,
Argentina,32,Around 1995,1995,,2,64,129,136,107,58,18,2,27,Registration,UNSD,,,,,,
Argentina,32,Around 2005,2005,,2,64,113,113,105,61,19,1,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Argentina,32,Latest,2010,,2,68,113,112,101,63,18,1,27,Registration,UNSD,,,,,,
Armenia,51,Around 1970,1970,,3,41,216,169,115,66,21,5,27,Registration,Eurostat,,,,,,
Armenia,51,Around 1985,1985,,2,57,233,131,60,19,4,1,25,Registration,UNSD,,,,,,
Armenia,51,Around 1995,1995,,1,56,142,74,35,15,3,0,24,Registration,UNSD,,,,,,
Armenia,51,Around 2005,2005,,1,27,122,78,32,11,2,0,25,Registration,National statistics,,,,,,
Armenia,51,Latest,2010,,1,28,123,97,45,15,3,0,26,Registration,National statistics,,,,,,
Aruba,533,Around 1970,1972,,2,40,131,148,107,54,23,2,28,Registration,National statistics,,,,,,
Aruba,533,Around 1985,1981,,1,39,118,118,75,30,6,1,27,Registration,National statistics,,,,,,
Aruba,533,Around 1995,1995,,2,48,119,111,87,43,7,0,27,Registration,UNSD,,,,,,
Aruba,533,Around 2005,2005,,1,39,102,99,62,37,7,1,27,Registration,National statistics,,,,,,
Aruba,533,Latest,2010,,1,40,92,86,68,29,8,0,27,Registration,UNSD,,,,,,
Australia,36,Around 1970,1970,,2,51,172,190,102,45,12,1,27,Registration,UNSD,,,,,,
Australia,36,Around 1985,1985,,1,22,94,143,87,26,4,0,27,Registration,National statistics,,,,,,
Australia,36,Around 1995,1995,,1,20,67,122,106,42,7,0,29,Registration,UNSD,,,,,,
Australia,36,Around 2005,2005,,1,16,52,102,117,60,11,0,30,Registration,National statistics,,,,,,
Australia,36,Latest,2010,,1,15,52,100,123,70,15,1,30,Registration,UNSD,,,,,,
Austria,40,Around 1970,1970,,2,61,159,111,78,41,11,1,26,Registration,UNSD,,,,,,
Austria,40,Around 1985,1985,,1,25,100,98,52,18,4,0,26,Registration,UNSD,,,,,,
Austria,40,Around 1995,1995,,1,17,75,100,62,23,4,0,27,Registration,UNSD,,,,,,
Austria,40,Around 2005,2005,,1,13,55,94,79,33,6,0,29,Registration,UNSD,,,,,,
Austria,40,Latest,2010,,1,10,48,90,89,42,8,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Azerbaijan,31,Around 1970,1970,,4,41,228,233,210,147,53,14,29,Registration,Eurostat,,,,,,
Azerbaijan,31,Around 1985,1985,,2,19,186,201,111,48,12,2,27,Registration,UNSD,,,,,,
Azerbaijan,31,Around 1995,1995,,2,40,167,132,66,27,6,1,26,Registration,UNSD,,,,,,
Azerbaijan,31,Around 2005,2005,,2,41,185,140,65,26,7,1,26,Registration,National statistics,,,,,,
Azerbaijan,31,Latest,2010,,1,48,142,114,55,21,5,1,25,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Around 1970,1970,,3,69,188,203,104,77,31,4,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Around 1985,1985,,2,68,136,143,98,38,12,1,26,Registration,UNSD,,,,,,
Bahamas,44,Around 1995,1995,,2,65,123,129,102,58,12,4,27,Registration,UNSD,,,,,,
Bahamas,44,Around 2005,2004,,1,46,99,94,77,50,12,2,27,Registration,National statistics,,,,,,
Bahamas,44,Latest,2007,,1,40,82,99,88,53,14,1,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahrain,48,Around 1970,1971,,6,288,411,328,188,95,24,6,25,Census,National statistics,,,,,,
Bahrain,48,Around 1985,1985,,4,37,164,249,227,130,56,42,30,Registration,UNSD,,,,,,
Bahrain,48,Around 1995,1995,,3,22,113,145,146,113,48,15,31,Registration,UNSD,,,,,,
Bahrain,48,Around 2005,2005,,2,18,117,165,112,74,31,4,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahrain,48,Latest,2008,,2,12,85,124,106,59,24,3,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bangladesh,50,Around 1970,1973,1971-1975,6,219,304,260,214,142,64,12,27,Survey,WFS,Bangladesh 1975-1976 World Fertility Survey,,,,,
Bangladesh,50,Around 1985,1985,1985-1986,4,130,248,201,160,117,48,18,28,Survey,National statistics,Bangladesh 1985-1986 Contraceptive Prevalence Survey,,,,,
Bangladesh,50,Around 1995,1995,1994-1997,3,147,192,150,96,44,18,6,25,Survey,DHS,Bangladesh 1996-1997 Demographic and Health Survey,,,,,
Bangladesh,50,Around 2005,2002,2001-2004,3,137,191,133,83,42,17,2,25,Survey,DHS,Bangladesh 2004 Demographic and Health Survey,,,,,
Bangladesh,50,Latest,2010,2008-2011,2,118,153,107,56,21,6,3,24,Survey,DHS,Bangladesh 2011 Demographic and Health Survey,,,Preliminary data.,,
Barbados,52,Around 1970,1970,,2,91,161,154,100,59,24,4,27,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Barbados,52,Around 1985,1985,,1,57,108,104,63,33,7,0,26,Registration,UNSD,,,,,,
Barbados,52,Around 1995,1998,,1,52,86,76,66,60,7,1,27,Registration,CARICOM,,,,,,
Barbados,52,Around 2005,2002,,1,55,97,91,81,42,13,1,27,Registration,CARICOM,,,,,,
Barbados,52,Latest,2007,,1,49,94,88,74,45,15,1,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belarus,112,Around 1970,1970,,2,28,175,129,85,42,12,1,27,Registration,UNSD,,,,,,
Belarus,112,Around 1985,1985,,2,33,174,125,58,22,4,0,26,Registration,UNSD,,,,,,
Belarus,112,Around 1995,1995,,1,39,123,72,30,11,2,0,24,Registration,UNSD,,,,,,
Belarus,112,Around 2005,2004,,1,22,89,75,39,13,2,0,26,Registration,UNSD,,,,,,
Belarus,112,Latest,2010,,1,21,90,102,62,23,4,0,27,Registration,National statistics,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",,
Belgium,56,Around 1970,1970,,2,31,149,143,78,36,10,1,27,Registration,UNSD,,,,,,
Belgium,56,Around 1985,1986,,1,12,89,131,60,17,3,0,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belgium,56,Around 1995,1995,,1,10,62,131,81,24,4,0,28,Registration,National statistics,,,,,,
Belgium,56,Around 2005,2005,,1,10,35,106,118,73,9,0,30,Registration,National statistics,,,,,,
Belgium,56,Latest,2007,,1,11,58,135,109,43,8,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belize,84,Around 1970,1970,,6,142,309,302,239,173,75,9,28,Registration,UNSD,,,,,,
Belize,84,Around 1985,1985,,5,130,282,252,174,119,41,6,27,Registration,UNSD,,,,,,
Belize,84,Around 1995,1995,,4,118,228,214,131,74,28,7,27,Registration,UNSD,,,,,,
Belize,84,Latest,2002,,3,90,193,172,123,71,27,4,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Benin,204,..,1961,,6,207,339,311,250,167,85,27,28,Survey,National statistics,Benin 1961 Enquête Démographique au Dahomey,,,,,
Benin,204,Around 1985,1980,1977-1982,7,151,314,329,278,193,99,51,29,Survey,WFS,Benin 1981-1982 World Fertility Survey,,,,,
Benin,204,Around 1995,1995,1993-1996,5,119,266,263,244,195,78,27,29,Survey,DHS,Benin 1996 Demographic and Health Survey,,,,,
Benin,204,Around 2005,2005,2003-2006,5,112,266,278,239,155,65,32,29,Survey,DHS,Benin 2006 Demographic and Health Survey,,,,,
Benin,204,Latest,2009,2008-2011,4,94,230,251,200,126,63,17,29,Survey,DHS,Benin 2011 Demographic and Health Survey,,,,,
Bermuda,60,Around 1970,1975,,1,62,96,112,66,27,7,1,26,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bermuda,60,Around 1985,1985,,1,34,102,124,76,31,3,0,27,Registration,UNSD,,,,,,
Bermuda,60,Around 1995,1995,,1,34,65,99,93,49,9,0,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bermuda,60,Around 2005,2003,,1,42,69,92,93,52,9,4,28,Registration,UNSD,,,,,,
Bermuda,60,Latest,2009,,1,18,59,84,108,76,15,2,30,Registration,UNSD,,,,,,
Bhutan,64,Around 1985,1984,,5,..,..,..,..,..,..,..,..,Survey,National statistics,Bhutan 1984 Demographic Sample Survey,,,,,
Bhutan,64,Around 1995,1993,1992-1994,5,120,267,242,195,174,95,24,29,Survey,National statistics,Bhutan 1994 National Health Survey,,,,,
Bhutan,64,Around 2005,2000,1999-2000,4,62,245,249,162,116,80,24,29,Survey,National statistics,Bhutan 2000 National Health Survey,,,,,
Bhutan,64,Latest,2005,,2,46,145,137,85,52,29,8,28,Census,National statistics,,,,,,
Bolivia (Plurinational State of),68,Around 1970,1975,1974-1975,6,77,254,356,300,215,103,57,30,Survey,National statistics,Bolivia 1975 Encuesta Demográfica Nacional,,,,,
Bolivia (Plurinational State of),68,Around 1985,1987,1986-1989,5,99,235,245,199,142,67,22,29,Survey,DHS,Bolivia 1989 Demographic and Health Survey,,,,,
Bolivia (Plurinational State of),68,Around 1995,1996,1995-1998,4,84,207,201,165,117,57,15,29,Survey,DHS,Bolivia 1998 Demographic and Health Survey,,,,,
Bolivia (Plurinational State of),68,Around 2005,2002,2001-2004,3,84,183,179,145,114,51,12,29,Survey,DHS,Bolivia 2003 Demographic and Health Survey,,,,,
Bolivia (Plurinational State of),68,Latest,2006,2005-2008,3,88,174,173,128,95,43,8,28,Survey,DHS,Bolivia 2008 Demographic and Health Survey,,,,,
Bosnia and Herzegovina,70,Around 1970,1970,,2,44,174,142,93,54,21,2,27,Registration,UNSD,,,,,,
Bosnia and Herzegovina,70,Around 1985,1985,,1,38,138,118,59,23,5,0,26,Registration,UNSD,,,,,,
Bosnia and Herzegovina,70,Around 1995,1996,,1,31,112,102,62,29,5,0,26,Registration,UNSD,,,,,,
Bosnia and Herzegovina,70,Around 2005,2005,,1,15,73,84,47,18,4,0,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bosnia and Herzegovina,70,Latest,2010,,1,14,59,86,67,24,4,0,28,Registration,UNSD,,,,,,
Botswana,72,Around 1970,1971,,6,96,277,276,243,198,138,71,30,Census,National statistics,,,,,,
Botswana,72,Around 1985,1986,1984-1987,4,108,182,181,171,140,93,32,30,Survey,National statistics,Botswana 1987 Demographic Survey,,,,,
Botswana,72,..,1987,1985-1988,4,129,209,200,183,141,75,36,29,Survey,DHS,Botswana 1988 Demographic and Health Survey,,,,,
Botswana,72,Around 2005,2001,,3,53,171,202,130,69,26,3,28,Census,National statistics,,,,Adjusted estimate.,,
Botswana,72,Latest,2006,,3,51,167,199,126,65,25,3,28,Survey,National statistics,Botswana 2006 Demographic Survey,,,,,
Brazil,76,Around 1970,1970,1969-1970,5,53,228,290,243,144,61,10,29,Census,National statistics,,,,,,
Brazil,76,Around 1985,1984,1983-1986,3,74,186,169,128,80,37,..,28,Survey,DHS,Brazil 1986 Demographic and Health Survey,,,,,
Brazil,76,Around 1995,1994,1993-1996,2,86,152,123,81,46,16,3,26,Survey,DHS,Brazil 1996 Demographic and Health Survey,,,,,
Brazil,76,Around 2005,2005,,2,80,121,96,62,32,10,1,26,Estimate,National statistics,,,,The estimates are based on vital registration data for federal states with more than 90 per cent of births registered and on estimates from censuses and surveys for the federal states with incomplete birth registration.,,
Brazil,76,Latest,2008,,1,71,100,88,64,35,10,1,26,Estimate,National statistics,,,,The estimates are based on vital registration data for federal states with more than 90 per cent of births registered and on estimates from censuses and surveys for the federal states with incomplete birth registration.,,
British Virgin Islands,92,Around 1970,1970,,3,110,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
British Virgin Islands,92,Around 1985,1985,,1,42,103,106,73,33,27,,27,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
British Virgin Islands,92,Around 1995,1997,,2,50,140,110,74,46,18,,27,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
